Clave,Fecha,Almacenamiento
LCDSO,2002-06-25,133.97
PECSO,2002-06-25,403.58
AOBSO,2002-06-25,707.78
AGZCH,2002-06-25,45.69
ARCSO,2002-06-25,66.52
PMOSO,2002-06-25,6.38
ARLSO,2002-06-25,1.27
CHTSO,2002-06-25,17.86
IRASO,2002-06-25,6.21
IRASO,2002-06-26,6.18
CHTSO,2002-06-26,17.8
ARLSO,2002-06-26,1.25
PMOSO,2002-06-26,6.38
ARCSO,2002-06-26,66.52
AGZCH,2002-06-26,45.36
AOBSO,2002-06-26,708.4
PECSO,2002-06-26,400.77
LCDSO,2002-06-26,133.47
LCDSO,2002-06-27,132.96
PECSO,2002-06-27,396.48
AOBSO,2002-06-27,709.64
AGZCH,2002-06-27,44.95
ARCSO,2002-06-27,66.52
PMOSO,2002-06-27,6.38
ARLSO,2002-06-27,1.22
CHTSO,2002-06-27,17.74
IRASO,2002-06-27,6.17
IRASO,2002-06-28,6.16
CHTSO,2002-06-28,17.68
ARLSO,2002-06-28,1.19
PMOSO,2002-06-28,6.35
ARCSO,2002-06-28,66.52
AGZCH,2002-06-28,44.67
AOBSO,2002-06-28,711.5
PECSO,2002-06-28,393.23
LCDSO,2002-06-28,132.48
LCDSO,2002-06-29,131.99
PECSO,2002-06-29,390
AOBSO,2002-06-29,713.36
AGZCH,2002-06-29,44.34
ARCSO,2002-06-29,66.52
PMOSO,2002-06-29,6.33
ARLSO,2002-06-29,1.16
CHTSO,2002-06-29,17.6
IRASO,2002-06-29,6.13
IRASO,2002-06-30,6.12
CHTSO,2002-06-30,17.54
ARLSO,2002-06-30,1.12
PMOSO,2002-06-30,6.3
ARCSO,2002-06-30,66.52
AGZCH,2002-06-30,44.06
AOBSO,2002-06-30,715.84
PECSO,2002-06-30,386.78
LCDSO,2002-06-30,131.53
LCDSO,2002-07-01,131.06
PECSO,2002-07-01,384.06
AOBSO,2002-07-01,717.7
AGZCH,2002-07-01,43.78
ARCSO,2002-07-01,66.52
PMOSO,2002-07-01,6.28
ARLSO,2002-07-01,1.09
CHTSO,2002-07-01,17.4
IRASO,2002-07-01,6.1
IRASO,2002-07-02,6.09
CHTSO,2002-07-02,17.34
ARLSO,2002-07-02,1.07
PMOSO,2002-07-02,6.28
ARCSO,2002-07-02,66.52
AGZCH,2002-07-02,43.46
AOBSO,2002-07-02,720.18
PECSO,2002-07-02,381.88
LCDSO,2002-07-02,130.6
LCDSO,2002-07-03,130.13
PECSO,2002-07-03,378.47
AOBSO,2002-07-03,722.04
AGZCH,2002-07-03,43.08
ARCSO,2002-07-03,66.52
PMOSO,2002-07-03,6.26
ARLSO,2002-07-03,1.04
CHTSO,2002-07-03,17.22
IRASO,2002-07-03,6.07
IRASO,2002-07-04,6.06
CHTSO,2002-07-04,17.16
ARLSO,2002-07-04,1.01
PMOSO,2002-07-04,6.23
ARCSO,2002-07-04,66.52
AGZCH,2002-07-04,42.76
AOBSO,2002-07-04,722.04
PECSO,2002-07-04,375.33
LCDSO,2002-07-04,129.67
LCDSO,2002-07-05,129.05
PECSO,2002-07-05,374.12
AOBSO,2002-07-05,723.9
AGZCH,2002-07-05,42.48
ARCSO,2002-07-05,66.52
PMOSO,2002-07-05,6.21
ARLSO,2002-07-05,0.98
CHTSO,2002-07-05,17.1
IRASO,2002-07-05,6.05
IRASO,2002-07-06,6.03
CHTSO,2002-07-06,17
ARLSO,2002-07-06,0.96
PMOSO,2002-07-06,6.18
ARCSO,2002-07-06,66.52
AGZCH,2002-07-06,42.2
AOBSO,2002-07-06,725.76
PECSO,2002-07-06,374.12
LCDSO,2002-07-06,128.59
LCDSO,2002-07-07,128.12
PECSO,2002-07-07,368.86
AOBSO,2002-07-07,727.62
AGZCH,2002-07-07,41.92
ARCSO,2002-07-07,66.52
PMOSO,2002-07-07,6.16
ARLSO,2002-07-07,0.94
CHTSO,2002-07-07,16.9
IRASO,2002-07-07,6.02
IRASO,2002-07-08,6.01
CHTSO,2002-07-08,16.82
ARLSO,2002-07-08,0.91
PMOSO,2002-07-08,6.14
ARCSO,2002-07-08,66.52
AGZCH,2002-07-08,41.6
AOBSO,2002-07-08,728.24
PECSO,2002-07-08,367.44
LCDSO,2002-07-08,127.65
LCDSO,2002-07-09,127.19
PECSO,2002-07-09,365.78
AOBSO,2002-07-09,731.34
AGZCH,2002-07-09,41.33
ARCSO,2002-07-09,66.52
PMOSO,2002-07-09,6.11
ARLSO,2002-07-09,0.88
CHTSO,2002-07-09,16.76
IRASO,2002-07-09,5.99
IRASO,2002-07-10,5.97
CHTSO,2002-07-10,16.68
ARLSO,2002-07-10,0.8
PMOSO,2002-07-10,6.09
ARCSO,2002-07-10,66.52
AGZCH,2002-07-10,41
AOBSO,2002-07-10,732.58
PECSO,2002-07-10,362.71
LCDSO,2002-07-10,126.72
LCDSO,2002-07-11,126.26
PECSO,2002-07-11,359.67
AOBSO,2002-07-11,733.82
AGZCH,2002-07-11,40.73
ARCSO,2002-07-11,66.52
PMOSO,2002-07-11,5.55
ARLSO,2002-07-11,0.85
CHTSO,2002-07-11,16.64
IRASO,2002-07-11,5.97
IRASO,2002-07-12,5.95
CHTSO,2002-07-12,16.6
ARLSO,2002-07-12,0.83
PMOSO,2002-07-12,5.55
ARCSO,2002-07-12,67.09
AGZCH,2002-07-12,40.5
AOBSO,2002-07-12,735.06
PECSO,2002-07-12,358.51
LCDSO,2002-07-12,125.79
LCDSO,2002-07-13,125.33
PECSO,2002-07-13,359.2
AOBSO,2002-07-13,739.4
AGZCH,2002-07-13,40.27
ARCSO,2002-07-13,67.58
PMOSO,2002-07-13,5.55
ARLSO,2002-07-13,0.8
CHTSO,2002-07-13,16.58
IRASO,2002-07-13,5.95
IRASO,2002-07-14,5.99
CHTSO,2002-07-14,16.58
ARLSO,2002-07-14,0.78
PMOSO,2002-07-14,5.41
ARCSO,2002-07-14,68.71
AGZCH,2002-07-14,40.08
AOBSO,2002-07-14,741.26
PECSO,2002-07-14,358.74
LCDSO,2002-07-14,124.86
LCDSO,2002-07-15,124.4
PECSO,2002-07-15,357.81
AOBSO,2002-07-15,742.5
AGZCH,2002-07-15,39.95
ARCSO,2002-07-15,70.7
PMOSO,2002-07-15,5.38
ARLSO,2002-07-15,0.76
CHTSO,2002-07-15,16.58
IRASO,2002-07-15,5.92
IRASO,2002-07-16,5.91
CHTSO,2002-07-16,16.4
ARLSO,2002-07-16,0.75
PMOSO,2002-07-16,5.38
ARCSO,2002-07-16,73.03
AGZCH,2002-07-16,39.76
AOBSO,2002-07-16,744.36
PECSO,2002-07-16,357.58
LCDSO,2002-07-16,123.95
LCDSO,2002-07-17,123.47
PECSO,2002-07-17,357.11
AOBSO,2002-07-17,745.6
AGZCH,2002-07-17,39.67
ARCSO,2002-07-17,75.51
PMOSO,2002-07-17,5.34
ARLSO,2002-07-17,0.75
CHTSO,2002-07-17,16.3
IRASO,2002-07-17,5.9
IRASO,2002-07-18,5.87
CHTSO,2002-07-18,16.2
ARLSO,2002-07-18,0.73
PMOSO,2002-07-18,5.34
ARCSO,2002-07-18,77.71
AGZCH,2002-07-18,39.67
AOBSO,2002-07-18,746.84
PECSO,2002-07-18,355.03
LCDSO,2002-07-18,123.01
LCDSO,2002-07-19,122.54
PECSO,2002-07-19,357.11
AOBSO,2002-07-19,751.18
AGZCH,2002-07-19,39.72
ARCSO,2002-07-19,80.77
PMOSO,2002-07-19,4.97
ARLSO,2002-07-19,0.72
CHTSO,2002-07-19,16.1
IRASO,2002-07-19,5.87
IRASO,2002-07-20,5.97
CHTSO,2002-07-20,16
ARLSO,2002-07-20,0.72
PMOSO,2002-07-20,5.27
ARCSO,2002-07-20,85.65
AGZCH,2002-07-20,39.72
AOBSO,2002-07-20,756.14
PECSO,2002-07-20,358.51
LCDSO,2002-07-20,122.23
LCDSO,2002-07-21,121.92
PECSO,2002-07-21,361.07
AOBSO,2002-07-21,759.36
AGZCH,2002-07-21,39.95
ARCSO,2002-07-21,103.84
PMOSO,2002-07-21,5.27
ARLSO,2002-07-21,0.7
CHTSO,2002-07-21,15.94
IRASO,2002-07-21,6.01
IRASO,2002-07-22,6.01
CHTSO,2002-07-22,15.91
ARLSO,2002-07-22,0.69
PMOSO,2002-07-22,5.27
ARCSO,2002-07-22,114.25
AGZCH,2002-07-22,40.31
AOBSO,2002-07-22,761.4
PECSO,2002-07-22,364.6
LCDSO,2002-07-22,121.61
LCDSO,2002-07-23,121.3
PECSO,2002-07-23,367.91
AOBSO,2002-07-23,762.76
AGZCH,2002-07-23,41.1
ARCSO,2002-07-23,120.14
PMOSO,2002-07-23,5.24
ARLSO,2002-07-23,0.67
CHTSO,2002-07-23,16.04
IRASO,2002-07-23,5.99
IRASO,2002-07-24,6.12
CHTSO,2002-07-24,16.08
ARLSO,2002-07-24,0.65
PMOSO,2002-07-24,5.14
ARCSO,2002-07-24,132.84
AGZCH,2002-07-24,41.6
AOBSO,2002-07-24,768.16
PECSO,2002-07-24,380.17
LCDSO,2002-07-24,121.15
LCDSO,2002-07-25,121.15
PECSO,2002-07-25,391.74
AOBSO,2002-07-25,768.2
AGZCH,2002-07-25,42.02
ARCSO,2002-07-25,156.07
PMOSO,2002-07-25,5.04
ARLSO,2002-07-25,0.64
CHTSO,2002-07-25,16.08
IRASO,2002-07-25,7.13
IRASO,2002-07-26,7.18
CHTSO,2002-07-26,16.08
ARLSO,2002-07-26,1.09
PMOSO,2002-07-26,5.04
ARCSO,2002-07-26,171.28
AGZCH,2002-07-26,42.29
AOBSO,2002-07-26,769.56
PECSO,2002-07-26,404.32
LCDSO,2002-07-26,121.15
LCDSO,2002-07-27,121.15
PECSO,2002-07-27,412.79
AOBSO,2002-07-27,770.92
AGZCH,2002-07-27,42.43
ARCSO,2002-07-27,182.28
PMOSO,2002-07-27,4.9
ARLSO,2002-07-27,1.07
CHTSO,2002-07-27,16.28
IRASO,2002-07-27,7.16
IRASO,2002-07-28,7.16
CHTSO,2002-07-28,16.3
ARLSO,2002-07-28,1.04
PMOSO,2002-07-28,4.93
ARCSO,2002-07-28,189.7
AGZCH,2002-07-28,42.48
AOBSO,2002-07-28,770.92
PECSO,2002-07-28,419.29
LCDSO,2002-07-28,121.15
LCDSO,2002-07-29,121.15
PECSO,2002-07-29,426.65
AOBSO,2002-07-29,772.96
AGZCH,2002-07-29,42.57
ARCSO,2002-07-29,199.57
PMOSO,2002-07-29,4.9
ARLSO,2002-07-29,1.03
CHTSO,2002-07-29,16.3
IRASO,2002-07-29,7.13
IRASO,2002-07-30,7.11
CHTSO,2002-07-30,16.3
ARLSO,2002-07-30,1.01
PMOSO,2002-07-30,4.87
ARCSO,2002-07-30,204.51
AGZCH,2002-07-30,42.57
AOBSO,2002-07-30,772.96
PECSO,2002-07-30,432.57
LCDSO,2002-07-30,121.15
LCDSO,2002-07-31,121.92
PECSO,2002-07-31,437.87
AOBSO,2002-07-31,772.96
AGZCH,2002-07-31,42.66
ARCSO,2002-07-31,210.68
PMOSO,2002-07-31,4.83
ARLSO,2002-07-31,0.99
CHTSO,2002-07-31,16.3
IRASO,2002-07-31,8.15
IRASO,2002-08-01,9.92
CHTSO,2002-08-01,16.3
ARLSO,2002-08-01,0.96
PMOSO,2002-08-01,4.8
ARCSO,2002-08-01,218.87
AGZCH,2002-08-01,43.5
AOBSO,2002-08-01,774.32
PECSO,2002-08-01,441.93
LCDSO,2002-08-01,122.72
LCDSO,2002-08-02,123.62
PECSO,2002-08-02,450.17
AOBSO,2002-08-02,775
AGZCH,2002-08-02,44.06
ARCSO,2002-08-02,225.28
PMOSO,2002-08-02,4.8
ARLSO,2002-08-02,0.93
CHTSO,2002-08-02,16.24
IRASO,2002-08-02,9.9
IRASO,2002-08-03,9.88
CHTSO,2002-08-03,16.22
ARLSO,2002-08-03,0.91
PMOSO,2002-08-03,4.8
ARCSO,2002-08-03,234.35
AGZCH,2002-08-03,44.52
AOBSO,2002-08-03,777.04
PECSO,2002-08-03,459.36
LCDSO,2002-08-03,124.86
LCDSO,2002-08-04,126.1
PECSO,2002-08-04,483.37
AOBSO,2002-08-04,779.03
AGZCH,2002-08-04,45.83
ARCSO,2002-08-04,246.95
PMOSO,2002-08-04,4.8
ARLSO,2002-08-04,0.93
CHTSO,2002-08-04,16.22
IRASO,2002-08-04,15.1
IRASO,2002-08-05,15.42
CHTSO,2002-08-05,16.22
ARLSO,2002-08-05,0.93
PMOSO,2002-08-05,5.14
ARCSO,2002-08-05,256.47
AGZCH,2002-08-05,46.85
AOBSO,2002-08-05,779.08
PECSO,2002-08-05,506.43
LCDSO,2002-08-05,129.36
LCDSO,2002-08-06,134.14
PECSO,2002-08-06,533.66
AOBSO,2002-08-06,781.12
AGZCH,2002-08-06,47.42
ARCSO,2002-08-06,269.19
PMOSO,2002-08-06,5.44
ARLSO,2002-08-06,0.93
CHTSO,2002-08-06,16.22
IRASO,2002-08-06,15.42
IRASO,2002-08-07,16.32
CHTSO,2002-08-07,16.22
ARLSO,2002-08-07,0.91
PMOSO,2002-08-07,6.3
ARCSO,2002-08-07,281.52
AGZCH,2002-08-07,48.29
AOBSO,2002-08-07,783.16
PECSO,2002-08-07,561.86
LCDSO,2002-08-07,139.86
LCDSO,2002-08-08,147.6
PECSO,2002-08-08,586.05
AOBSO,2002-08-08,784.52
AGZCH,2002-08-08,50.09
ARCSO,2002-08-08,289.22
PMOSO,2002-08-08,6.38
ARLSO,2002-08-08,0.9
CHTSO,2002-08-08,16.22
IRASO,2002-08-08,16.27
IRASO,2002-08-09,16.24
CHTSO,2002-08-09,16.22
ARLSO,2002-08-09,0.88
PMOSO,2002-08-09,7.5
ARCSO,2002-08-09,295.38
AGZCH,2002-08-09,52.47
AOBSO,2002-08-09,784.52
PECSO,2002-08-09,603.16
LCDSO,2002-08-09,147.43
LCDSO,2002-08-10,148.44
PECSO,2002-08-10,619.27
AOBSO,2002-08-10,784.52
AGZCH,2002-08-10,53.87
ARCSO,2002-08-10,302.06
PMOSO,2002-08-10,7.84
ARLSO,2002-08-10,0.88
CHTSO,2002-08-10,16.22
IRASO,2002-08-10,16.22
IRASO,2002-08-11,16.38
CHTSO,2002-08-11,16.34
ARLSO,2002-08-11,0.88
PMOSO,2002-08-11,9.04
ARCSO,2002-08-11,307.45
AGZCH,2002-08-11,54.65
AOBSO,2002-08-11,784.52
PECSO,2002-08-11,640.25
LCDSO,2002-08-11,158.24
LCDSO,2002-08-12,163.62
PECSO,2002-08-12,665.68
AOBSO,2002-08-12,784.52
AGZCH,2002-08-12,55.74
ARCSO,2002-08-12,311.82
PMOSO,2002-08-12,9.47
ARLSO,2002-08-12,0.86
CHTSO,2002-08-12,16.34
IRASO,2002-08-12,16.6
IRASO,2002-08-13,16.6
CHTSO,2002-08-13,16.3
ARLSO,2002-08-13,0.86
PMOSO,2002-08-13,9.86
ARCSO,2002-08-13,316.95
AGZCH,2002-08-13,56.99
AOBSO,2002-08-13,784.52
PECSO,2002-08-13,687.68
LCDSO,2002-08-13,172.22
LCDSO,2002-08-14,175.88
PECSO,2002-08-14,705.24
AOBSO,2002-08-14,785.2
AGZCH,2002-08-14,58.48
ARCSO,2002-08-14,322.86
PMOSO,2002-08-14,10.1
ARLSO,2002-08-14,0.85
CHTSO,2002-08-14,16.3
IRASO,2002-08-14,16.79
IRASO,2002-08-15,16.57
CHTSO,2002-08-15,16.28
ARLSO,2002-08-15,0.85
PMOSO,2002-08-15,10.22
ARCSO,2002-08-15,332.96
AGZCH,2002-08-15,59.14
AOBSO,2002-08-15,785.2
PECSO,2002-08-15,720.03
LCDSO,2002-08-15,177.81
LCDSO,2002-08-16,178.97
PECSO,2002-08-16,734.25
AOBSO,2002-08-16,785.2
AGZCH,2002-08-16,59.82
ARCSO,2002-08-16,341.56
PMOSO,2002-08-16,10.34
ARLSO,2002-08-16,0.83
CHTSO,2002-08-16,16.26
IRASO,2002-08-16,16.93
IRASO,2002-08-17,17.04
CHTSO,2002-08-17,16.28
ARLSO,2002-08-17,0.8
PMOSO,2002-08-17,10.34
ARCSO,2002-08-17,355.08
AGZCH,2002-08-17,60.42
AOBSO,2002-08-17,786.56
PECSO,2002-08-17,737.34
LCDSO,2002-08-17,179.94
LCDSO,2002-08-18,181.67
PECSO,2002-08-18,743.54
AOBSO,2002-08-18,793.36
AGZCH,2002-08-18,60.92
ARCSO,2002-08-18,367.36
PMOSO,2002-08-18,12.93
ARLSO,2002-08-18,0.78
CHTSO,2002-08-18,16.32
IRASO,2002-08-18,17.01
IRASO,2002-08-19,16.94
CHTSO,2002-08-19,16.34
ARLSO,2002-08-19,0.77
PMOSO,2002-08-19,12.93
ARCSO,2002-08-19,375.35
AGZCH,2002-08-19,61.97
AOBSO,2002-08-19,804.24
PECSO,2002-08-19,761.62
LCDSO,2002-08-19,183.6
LCDSO,2002-08-20,186.5
PECSO,2002-08-20,779.98
AOBSO,2002-08-20,808.32
AGZCH,2002-08-20,62.64
ARCSO,2002-08-20,387.44
PMOSO,2002-08-20,14.46
ARLSO,2002-08-20,0.94
CHTSO,2002-08-20,16.36
IRASO,2002-08-20,17.27
IRASO,2002-08-21,17.36
CHTSO,2002-08-21,16.38
ARLSO,2002-08-21,0.93
PMOSO,2002-08-21,14.71
ARCSO,2002-08-21,397.71
AGZCH,2002-08-21,63.47
AOBSO,2002-08-21,810.36
PECSO,2002-08-21,800.77
LCDSO,2002-08-21,189.43
LCDSO,2002-08-22,191.53
PECSO,2002-08-22,806.13
AOBSO,2002-08-22,812.4
AGZCH,2002-08-22,64.91
ARCSO,2002-08-22,398.7
PMOSO,2002-08-22,14.76
ARLSO,2002-08-22,0.91
CHTSO,2002-08-22,16.32
IRASO,2002-08-22,17.33
IRASO,2002-08-23,17.3
CHTSO,2002-08-23,16.3
ARLSO,2002-08-23,0.9
PMOSO,2002-08-23,14.76
ARCSO,2002-08-23,401.16
AGZCH,2002-08-23,64.91
AOBSO,2002-08-23,813.76
PECSO,2002-08-23,810.68
LCDSO,2002-08-23,193.21
LCDSO,2002-08-24,194.88
PECSO,2002-08-24,815.24
AOBSO,2002-08-24,818.52
AGZCH,2002-08-24,66.25
ARCSO,2002-08-24,405.91
PMOSO,2002-08-24,14.88
ARLSO,2002-08-24,0.88
CHTSO,2002-08-24,16.32
IRASO,2002-08-24,17.27
IRASO,2002-08-25,17.23
CHTSO,2002-08-25,16.3
ARLSO,2002-08-25,0.86
PMOSO,2002-08-25,14.88
ARCSO,2002-08-25,409.92
AGZCH,2002-08-25,66.8
AOBSO,2002-08-25,819.2
PECSO,2002-08-25,819.42
LCDSO,2002-08-25,195.3
LCDSO,2002-08-26,195.3
PECSO,2002-08-26,829.05
AOBSO,2002-08-26,819.2
AGZCH,2002-08-26,66.97
ARCSO,2002-08-26,413.92
PMOSO,2002-08-26,14.8
ARLSO,2002-08-26,0.85
CHTSO,2002-08-26,16.3
IRASO,2002-08-26,17.2
IRASO,2002-08-27,17.18
CHTSO,2002-08-27,16.28
ARLSO,2002-08-27,0.85
PMOSO,2002-08-27,14.8
ARCSO,2002-08-27,416.48
AGZCH,2002-08-27,67.15
AOBSO,2002-08-27,817.84
PECSO,2002-08-27,826.95
LCDSO,2002-08-27,195.3
LCDSO,2002-08-28,195.72
PECSO,2002-08-28,830.32
AOBSO,2002-08-28,821.92
AGZCH,2002-08-28,67.02
ARCSO,2002-08-28,417.94
PMOSO,2002-08-28,14.76
ARLSO,2002-08-28,0.83
CHTSO,2002-08-28,16.26
IRASO,2002-08-28,17.15
IRASO,2002-08-29,17.12
CHTSO,2002-08-29,16.24
ARLSO,2002-08-29,0.82
PMOSO,2002-08-29,13.23
ARCSO,2002-08-29,419.03
AGZCH,2002-08-29,67.02
AOBSO,2002-08-29,826
PECSO,2002-08-29,831.16
LCDSO,2002-08-29,195.72
LCDSO,2002-08-30,195.72
PECSO,2002-08-30,828.21
AOBSO,2002-08-30,827.44
AGZCH,2002-08-30,67.02
ARCSO,2002-08-30,419.76
PMOSO,2002-08-30,11.53
ARLSO,2002-08-30,0.8
CHTSO,2002-08-30,16.16
IRASO,2002-08-30,17.09
IRASO,2002-08-31,17.07
CHTSO,2002-08-31,16.08
ARLSO,2002-08-31,0.78
PMOSO,2002-08-31,11.53
ARCSO,2002-08-31,420.5
AGZCH,2002-08-31,67.02
AOBSO,2002-08-31,831.76
PECSO,2002-08-31,828.63
LCDSO,2002-08-31,195.72
LCDSO,2002-09-01,196.14
PECSO,2002-09-01,832.85
AOBSO,2002-09-01,833.92
AGZCH,2002-09-01,66.86
ARCSO,2002-09-01,421.58
PMOSO,2002-09-01,9.26
ARLSO,2002-09-01,0.77
CHTSO,2002-09-01,16
IRASO,2002-09-01,8.57
IRASO,2002-09-02,8.83
CHTSO,2002-09-02,15.88
ARLSO,2002-09-02,0.75
PMOSO,2002-09-02,8.3
ARCSO,2002-09-02,421.58
AGZCH,2002-09-02,66.75
AOBSO,2002-09-02,834.64
PECSO,2002-09-02,832.85
LCDSO,2002-09-02,196.56
LCDSO,2002-09-03,196.98
PECSO,2002-09-03,832.85
AOBSO,2002-09-03,833.92
AGZCH,2002-09-03,66.63
ARCSO,2002-09-03,421.95
PMOSO,2002-09-03,7.19
ARLSO,2002-09-03,0.73
CHTSO,2002-09-03,15.88
IRASO,2002-09-03,8.86
IRASO,2002-09-04,8.83
CHTSO,2002-09-04,15.61
ARLSO,2002-09-04,0.72
PMOSO,2002-09-04,7.07
ARCSO,2002-09-04,421.95
AGZCH,2002-09-04,66.52
AOBSO,2002-09-04,831.76
PECSO,2002-09-04,827.37
LCDSO,2002-09-04,197.19
LCDSO,2002-09-05,197.19
PECSO,2002-09-05,824.02
AOBSO,2002-09-05,830.32
AGZCH,2002-09-05,66.3
ARCSO,2002-09-05,421.95
PMOSO,2002-09-05,7.02
ARLSO,2002-09-05,0.7
CHTSO,2002-09-05,15.61
IRASO,2002-09-05,8.8
IRASO,2002-09-06,8.78
CHTSO,2002-09-06,15.49
ARLSO,2002-09-06,0.69
PMOSO,2002-09-06,6.98
ARCSO,2002-09-06,422.31
AGZCH,2002-09-06,66.14
AOBSO,2002-09-06,830.32
PECSO,2002-09-06,820
LCDSO,2002-09-06,197.19
LCDSO,2002-09-07,197.19
PECSO,2002-09-07,821.51
AOBSO,2002-09-07,833.2
AGZCH,2002-09-07,65.97
ARCSO,2002-09-07,422.31
PMOSO,2002-09-07,6.95
ARLSO,2002-09-07,0.67
CHTSO,2002-09-07,15.37
IRASO,2002-09-07,8.75
IRASO,2002-09-08,9.55
CHTSO,2002-09-08,15.37
ARLSO,2002-09-08,0.65
PMOSO,2002-09-08,6.95
ARCSO,2002-09-08,422.68
AGZCH,2002-09-08,65.86
AOBSO,2002-09-08,834.64
PECSO,2002-09-08,820.67
LCDSO,2002-09-08,197.19
LCDSO,2002-09-09,197.19
PECSO,2002-09-09,825.27
AOBSO,2002-09-09,834.64
AGZCH,2002-09-09,65.69
ARCSO,2002-09-09,426.69
PMOSO,2002-09-09,8.46
ARLSO,2002-09-09,0.64
CHTSO,2002-09-09,15.37
IRASO,2002-09-09,9.6
IRASO,2002-09-10,9.97
CHTSO,2002-09-10,15.4
ARLSO,2002-09-10,0.64
PMOSO,2002-09-10,8.61
ARCSO,2002-09-10,429.24
AGZCH,2002-09-10,65.52
AOBSO,2002-09-10,833.92
PECSO,2002-09-10,827.79
LCDSO,2002-09-10,198.24
LCDSO,2002-09-11,199.5
PECSO,2002-09-11,830.32
AOBSO,2002-09-11,833.92
AGZCH,2002-09-11,65.41
ARCSO,2002-09-11,431.06
PMOSO,2002-09-11,8.51
ARLSO,2002-09-11,0.62
CHTSO,2002-09-11,15.4
IRASO,2002-09-11,9.99
IRASO,2002-09-12,10.12
CHTSO,2002-09-12,15.4
ARLSO,2002-09-12,0.61
PMOSO,2002-09-12,8.49
ARCSO,2002-09-12,432.15
AGZCH,2002-09-12,65.41
AOBSO,2002-09-12,832.48
PECSO,2002-09-12,833.69
LCDSO,2002-09-12,201.17
LCDSO,2002-09-13,202.01
PECSO,2002-09-13,834.53
AOBSO,2002-09-13,831.04
AGZCH,2002-09-13,65.41
ARCSO,2002-09-13,432.15
PMOSO,2002-09-13,8.44
ARLSO,2002-09-13,0.61
CHTSO,2002-09-13,15.4
IRASO,2002-09-13,10.23
IRASO,2002-09-14,10.23
CHTSO,2002-09-14,15.4
ARLSO,2002-09-14,0.59
PMOSO,2002-09-14,8.42
ARCSO,2002-09-14,432.52
AGZCH,2002-09-14,65.47
AOBSO,2002-09-14,828.88
PECSO,2002-09-14,836.22
LCDSO,2002-09-14,202.43
LCDSO,2002-09-15,202.43
PECSO,2002-09-15,839.61
AOBSO,2002-09-15,827.44
AGZCH,2002-09-15,65.47
ARCSO,2002-09-15,432.52
PMOSO,2002-09-15,8.32
ARLSO,2002-09-15,0.59
CHTSO,2002-09-15,15.34
IRASO,2002-09-15,10.18
IRASO,2002-09-16,10.15
CHTSO,2002-09-16,15.28
ARLSO,2002-09-16,0.57
PMOSO,2002-09-16,8.3
ARCSO,2002-09-16,432.52
AGZCH,2002-09-16,65.47
AOBSO,2002-09-16,826
PECSO,2002-09-16,845.14
LCDSO,2002-09-16,202.43
LCDSO,2002-09-17,202.43
PECSO,2002-09-17,842.16
AOBSO,2002-09-17,826
AGZCH,2002-09-17,65.41
ARCSO,2002-09-17,432.15
PMOSO,2002-09-17,8.3
ARLSO,2002-09-17,0.56
CHTSO,2002-09-17,15.22
IRASO,2002-09-17,10.12
IRASO,2002-09-18,10.1
CHTSO,2002-09-18,15.32
ARLSO,2002-09-18,0.54
PMOSO,2002-09-18,8.3
ARCSO,2002-09-18,433.24
AGZCH,2002-09-18,65.41
AOBSO,2002-09-18,824.64
PECSO,2002-09-18,844.29
LCDSO,2002-09-18,202.43
LCDSO,2002-09-19,202.43
PECSO,2002-09-19,845.99
AOBSO,2002-09-19,824.64
AGZCH,2002-09-19,65.36
ARCSO,2002-09-19,433.61
PMOSO,2002-09-19,8.3
ARLSO,2002-09-19,0.52
CHTSO,2002-09-19,15.52
IRASO,2002-09-19,10.07
IRASO,2002-09-20,10.05
CHTSO,2002-09-20,15.52
ARLSO,2002-09-20,0.51
PMOSO,2002-09-20,8.3
ARCSO,2002-09-20,433.97
AGZCH,2002-09-20,65.36
AOBSO,2002-09-20,824.64
PECSO,2002-09-20,847.27
LCDSO,2002-09-20,202.22
LCDSO,2002-09-21,202.01
PECSO,2002-09-21,848.98
AOBSO,2002-09-21,823.96
AGZCH,2002-09-21,65.3
ARCSO,2002-09-21,433.61
PMOSO,2002-09-21,8.25
ARLSO,2002-09-21,0.49
CHTSO,2002-09-21,15.52
IRASO,2002-09-21,10.02
IRASO,2002-09-22,9.99
CHTSO,2002-09-22,15.49
ARLSO,2002-09-22,0.48
PMOSO,2002-09-22,8.2
ARCSO,2002-09-22,433.24
AGZCH,2002-09-22,65.25
AOBSO,2002-09-22,823.96
PECSO,2002-09-22,850.25
LCDSO,2002-09-22,201.8
LCDSO,2002-09-23,201.59
PECSO,2002-09-23,853.24
AOBSO,2002-09-23,823.28
AGZCH,2002-09-23,65.25
ARCSO,2002-09-23,432.88
PMOSO,2002-09-23,8.2
ARLSO,2002-09-23,0.46
CHTSO,2002-09-23,15.46
IRASO,2002-09-23,9.97
IRASO,2002-09-24,9.94
CHTSO,2002-09-24,15.43
ARLSO,2002-09-24,0.46
PMOSO,2002-09-24,8.18
ARCSO,2002-09-24,432.15
AGZCH,2002-09-24,65.25
AOBSO,2002-09-24,823.28
PECSO,2002-09-24,854.94
LCDSO,2002-09-24,201.38
LCDSO,2002-09-25,201.17
PECSO,2002-09-25,854.51
AOBSO,2002-09-25,822.6
AGZCH,2002-09-25,65.19
ARCSO,2002-09-25,431.06
PMOSO,2002-09-25,8.2
